Iteration;Time (ms);Fitness;Prio0;Prio1;Total
1;81.9046;0.154320599;66;100;166
2;53.7178;0.145194789;66;96;162
3;3851.3901;0.764868777;333;746;1079
4;3782.4507;0.761784883;334;737;1071
5;3789.9537;0.757127573;328;744;1072
6;3785.8839;0.764239411;328;757;1085
7;3828.3668;0.768078545;333;741;1074
8;3904.9536;0.764742904;330;747;1077
9;3881.5456;0.767134496;334;753;1087
10;3811.6564;0.757882812;329;745;1074
11;3928.7222;0.766379256;333;752;1085
12;3857.4964;0.771791806;336;739;1075
13;3885.5736;0.767449179;332;745;1077
14;3833.896;0.757505192;326;739;1065
15;3812.1952;0.768141482;334;748;1082
16;3851.0882;0.773365221;334;746;1080
17;3929.3208;0.775379193;338;747;1085
18;3883.1537;0.766631003;335;751;1086
19;3965.1488;0.766568066;333;744;1077
20;3963.7344;0.76612751;334;757;1091
21;3800.3301;0.752847882;332;735;1067
22;3785.9832;0.760085594;331;734;1065
23;3905.8314;0.783309208;342;732;1074
24;3814.6538;0.742463339;318;747;1065
25;3917.8814;0.781043489;341;746;1087
26;3966.9843;0.791742715;342;747;1089
27;3839.1884;0.771980616;332;742;1074
28;3790.6313;0.768833784;332;737;1069
29;3914.3991;0.786393102;342;752;1094
30;1408.0918;0.477437221;206;487;693
31;3895.0803;0.800239159;348;736;1084
32;3866.2849;0.781358172;339;736;1075
33;3908.1504;0.788973504;344;744;1088
34;3874.0676;0.78884763;341;751;1092
35;3852.9012;0.788973504;340;736;1076
36;3787.4016;0.780036503;339;740;1079
37;3890.9625;0.785008496;345;740;1085
38;3834.0196;0.785889609;341;734;1075
39;3849.5666;0.778337214;337;742;1079
40;3803.3054;0.769400214;333;737;1070
41;3875.5276;0.769463151;333;743;1076
42;3854.9266;0.77972182;336;742;1078
43;1400.6906;0.495374158;212;479;691
44;3861.4561;0.779973567;338;737;1075
45;3909.4334;0.783183334;343;735;1078
46;3934.3828;0.7991063;344;743;1087
47;3908.4483;0.76033734;331;748;1079
48;3905.0957;0.786393102;343;744;1087
49;4001.0295;0.799924476;348;747;1095
50;3911.188;0.776889672;336;749;1085
51;3887.0109;0.789665807;345;739;1084
52;3906.1147;0.781735792;341;745;1086
53;3855.6405;0.781043489;332;748;1080
54;3901.9797;0.788281201;346;734;1080
55;3879.6428;0.773239348;335;750;1085
56;3943.0251;0.777456102;338;748;1086
57;3852.4548;0.770721883;337;737;1074
58;3830.7077;0.771477123;332;747;1079
59;3917.294;0.777519038;336;751;1087
60;3844.0167;0.781169362;340;732;1072
61;3910.0107;0.775001573;332;751;1083
62;3911.9612;0.78047706;339;747;1086
63;3889.2932;0.787337151;340;737;1077
64;3792.6592;0.791239222;343;728;1071
65;3875.1715;0.789665807;341;747;1088
66;3882.8281;0.783372144;338;739;1077
67;3824.0747;0.783309208;342;731;1073
68;3773.298;0.77991063;340;731;1071
69;3793.1379;0.775693876;338;735;1073
70;3872.9949;0.792057398;345;730;1075
71;3909.9075;0.788344137;346;742;1088
72;3812.7113;0.785449053;340;735;1075
73;3843.2722;0.784253257;335;741;1076
74;3719.8183;0.776700862;336;727;1063
75;3776.4018;0.782176348;339;726;1065
76;3832.3556;0.769337277;331;747;1078
77;3895.671;0.792435018;346;741;1087
